;meta[language=en]
; id      |key(hex)|key(str)| text
2117400000|72c8a65b||AutoLoot +A.S.
2117400001|603aa015||Settings
2117400002|b13d48f1||Settings Presets
2117400003|851b7b5c||Default
2117400004|bde9af95||Enable AutoLoot Mod
2117400005|45b020ff||Increase Geralt's Carrying Capacity
2117400006|f8648e15||No Accidental Stealing
2117400007|bb11969a||Disable Stealing Mechanic
2117400008|803081f5||Loot Enemies When Killed
2117400009|f4ca5b19||Warning if Autoloot Looted Quest/Protected Container
2117400010|1fd074a0||Force Quest Container Looting
2117400011|b90652df||Reset All Settings (Close Menu/Load Game to Take Effect)
2117400012|ff47a2d9||Global Filters
2117400013|938736b5||Global Filters Presets
2117400014|ae609cd8||Exclude Witcher Diagrams (Scavenger Hunt Missions)
2117400015|c891b1e9||<font size="22">Exclude Special Containers<font size="18"> (Bandit Camp/Treasure/Smugglers' Cache/Spoils of War)</font>
2117400016|085b48b0||Exclude Trophies
2117400017|6fc2679b||Exclude Herbs in Corvo Bianco
2117400018|f95491a3||Exclude Bee Hives
2117400019|bed9f48f||Exclude Dropped Items
2117400020|7bdd8a63||No Loot if Player Rides a Horse
2117400021|65a1ef58||Destroy Weapon + Armor White Quality (<font color="#BC1515">EXPERIMENTAL!</font>)
2117400022|35a4f875||<font color="#7F7F7F">Off</font>
2117400023|be4adb77||On (-Crossbows)
2117400024|a6e44a19||On
2117400025|44f6f384||Container Filters
2117400026|5ff2d560||Container Filters Presets
2117400027|91290e12||Corpses Only
2117400028|84389f95||One Item Only
2117400029|5869d9ca||Corpse Filter (Checks if "Container" is a Corpse)
2117400030|c908f253||Dropped Items Filter
2117400031|b8239440||Quantity Filter (Checks # of Items in Container)
2117400032|e01953ff||Number of Items (Threshold for Comparisons)
2117400033|370c48f2||Quantity Comparison Mode
2117400034|61cdbbe6||Less Than/Exactly (&lt;= Threshold)
2117400035|d78f7a52||Exactly (= Threshold)
2117400036|9161128d||More Than/Exactly (&gt;= Threshold)
2117400037|3d29e57f||Interaction Key Looting<br/><font color="#7F7F7F"><font size="18">(Loots Everything)</font>
2117400038|d169795b||Interaction Key Presets
2117400039|5f140470||Behaviour of Interaction Key ('E')
2117400040|31a3dc2b||<font size="22"><font color="#7F7F7F">Vanilla Popup (Disables Option Below)</font>
2117400041|a98ba167||<font size="22">Vanilla Popup for Unique Containers Only</font>
2117400042|963f17a3||<font size="22">Autoloot Containers</font>
2117400043|f31785a3||Distance to Search for Containers When Looting One
2117400044|73e2b663||Distance to Search for Herbs When Looting One
2117400045|978c5c56||Item Filters
2117400046|dc0cb5fa||Item Filters Presets
2117400047|cec180bd||Select All
2117400048|51b3c026||Skip White Items
2117400049|99d009ad||<font color="#FF8F00">Use Filters</font> <font size="21">(Off Loots Everything)</font>
2117400050|6e49e6a2||Herb Filter
2117400051|b0b25452||Armor Filter
2117400052|d3dab021||Select Quality
2117400053|bfb993b2||Maximum Possible Quantity in the Inventory (0 = Disabled)
2117400054|592febe4||= Common (White)
2117400055|697dec5b||= Master (Blue)
2117400056|a8904494||= Magic (Yellow)
2117400057|a8d89e5a||= Relic (Orange)
2117400058|e4eb1bdb||= Witcher (Green)
2117400059|ca23ca7a||&lt;= Master (Blue)
2117400060|ccb6a695||&lt;= Magic (Yellow)
2117400061|ccff005b||&lt;= Relic (Orange)
2117400062|e76355d5||>= Master (Blue)
2117400063|17fac3da||>= Magic (Yellow)
2117400064|18431da0||>= Relic (Orange)
2117400065|1e4be113||Select Value (>= Loot)
2117400066|34027551||Weapon Filter
2117400067|00b470c6||Ingredient Filter (Crafting/Alchemy Items/Dyes)
2117400068|d7b71abd||Junk Filter (Loot Items Considered "Junk")
2117400069|508983e5||Readable Filter (Books, Notes, Maps, etc.) - UNREAD
2117400070|fc021681||Readable Filter (Books, Notes, Maps, etc.) - READ
2117400071|08528bd6||<font size="21">Maximum Possible Quantity for Missing Books in the Inventory (0 = Disabled)</font>
2117400072|c652af13||Currency Filter (Crowns/Florens/Orens)
2117400073|d97557fd||Select Number of Each Currency (>= Loot)
2117400074|828c4a53||Food and Drink Filter
2117400075|eec8efaf||Upgrade Filter (Glyph/Rune/Mutagen)
2117400076|bb40c070||Horse Equipment Filter (Blinders/Saddles/Saddlebags)
2117400077|774b1a65||Trophy Filter
2117400078|85c2540d||Tool Filter (Repair Kit)
2117400079|c9a51163||Other Filter ("Quest Items/Other" Tab) - not Keys/Readable
