;meta[language=en]
; id      |key(hex)|key(str)| text
2117167000|4d5f8b0c||Mods
2117167001|7f878b6f||Friendly Focus
2117167002|2abf277c||Version 2.0
2117167003|598c0a27||Author's Choice
2117167004|266babea||Vanilla
2117167005|523bdb4e||Screen Dimm Effect Entering Focus
2117167006|3bc8b9c8||Whoosh Sound Effect Entering Focus
2117167007|4a8ed7a5||Fade Transition Entering and Exiting Focus
2117167008|e39fde91||Ambient Environment Sound Effect During Focus
2117167009|99e887bc||Zoom To Shoulder Effect During Focus
2117167010|04f03587||Jump Restriction During Focus
2117167011|9640811b||Sprint Restriction During Focus
2117167012|23f977e1||Hold to Enter Focus
2117167013|0a2ca55a||Cat Vision During Focus
2117167014|e975f9ad||Visual Highlight During Focus
2117167015|225df6a5||Corpse Particles During Focus
2117167016|4609ba53||Monster Ripples During Focus
2117167017|598c0a28||Updater's Choice
2117167018|8d3c90ff||Version 2.0
