;meta[language=cleartext]
; id      |key(hex)|key(str)| text
2118587100|4d5f8b0c||模组
2118587101|3101111d||预设
2118587102|f9a9325a||转到
2118587103|2ad0c4d9||返回
2118587104|603d58e8||菜单管理器
2118587105|3d336058||<font size='23'>默认</font>
2118587106|78649df6||<font size='23'>类别顺序</font>
2118587107|75600b58||管理模式
2118587108|8d93c876||翻页
2118587109|26d19a25||文件夹
2118587110|512142ef||<font size='23'>翻页</font>
2118587111|ea5f149e||<font size='23'>文件夹</font>
2118587112|d212df76||条目限制
2118587113|02b767e5||显示菜单路径提示
2118587114|7645574d||如果字符串无法正确获取，则显示 #
2118587115|e632508a||按字母顺序对模组菜单进行排序
2118587116|dd7aa54d||开启（忽略 IMM_Settings.ws）
2118587117|a85ff435||分类模组菜单
2118587118|476005a4||忽略 XML 中的菜单字符串修改
2118587119|f7ea62bd||类别 1
2118587120|f7ea62be||类别 2
2118587121|f7ea62bf||类别 3
2118587122|f7ea62c0||类别 4
2118587123|f7ea62c1||类别 5
2118587124|f7ea62c2||类别 6
2118587125|f7ea62c3||类别 7
2118587126|f7ea62c4||类别 8
2118587127|f7ea62c5||类别 9
2118587128|da670984||关闭选项菜单并应用设置
2118587129|b414e7ff||在翻页模式中，最大菜单数量是 8。<br>超过则自动调整为 8。
2118587130|a999ac6f||在文件夹模式中，最小菜单数量是 2。<br>小于将自动调整为 2。
2118587131|e8ead188||必须关闭选项菜单以应用设置更改。
2118587132|8d979f51||已应用菜单管理器设置。
2118587133|e0c5c893||需要打开选项菜单。
2118587134|99921606||没有找到 <<mod>> 的菜单。
2118587135|17490f7b||菜单路径
2118587136|d1e2d165||显示菜单管理器的菜单路径
2118587137|1bdd8ddd||你需要打开模组菜单。
2118587138|ddb4f52f||你需要关闭当前显示的面板。
2118587139|18c981f6||将自动保存和检查点排除在快速加载之外
2118587140|196ea42d||控制
2118587141|8312d7b7||未分类
2118587142|9933ec85||调试任务
2118587143|8b9d9423||快速加载
2118587144|f08631ab||添加菜单
2118587145|3acfa045||其他模组添加的菜单
2118587146|f99e62bc||没有添加任何菜单。
2118587147|1968b891||内容
2118587148|17196c07||模组菜单
2118587149|90821540||模组菜单（主菜单）
2118587150|fd161279||模组菜单（游戏菜单）
2118587151|e45cb826||选项菜单
2118587152|1630e9ee||选项菜单（主菜单）
2118587153|42fbe195||选项菜单（游戏菜单）
2118587154|65584bba||视频选项菜单
2118587155|b8970787||模组类别
2118587156|f663d4b7||模组菜单设置
2118587157|b44034a3||其他菜单设置
2118587158|e8298593||主菜单管理
2118587159|7f37074c||游戏菜单管理
2118587160|74d1b9ea||选项菜单管理（主菜单）
2118587161|a19cb191||选项菜单管理（游戏菜单）
