;meta[language=cleartext]
; id      |key(hex)|key(str)| text
2112060000|4d5f8b0c||模组
2112060001|1c195c41||真实的水
2112060002|563e04a4||全局夜间系数
2112060003|a376d025||威伦/诺维格瑞
2112060004|799b451b||史凯利格
2112060005|484b2bc7||陶森特
2112060006|a3548fff||沼泽
2112060007|525a6c85||凯尔莫罕
2112060008|4e660383||白果园
2112060009|fbd6e4b8||默认
2112060010|ce9583a8||默认
2112060011|9298beda||默认
2112060012|fbb4a492||默认
2112060013|51bf3bd2||默认
2112060014|07d43390||默认
2112060015|ab384331||默认
2112060016|dbc53d43||水下亮度
2112060017|ccd1c80c||水下雾效
2112060018|f358d6e6||环境光强度
2112060019|8b6f63b0||环境漫反射
2112060020|048f2d29||菲涅尔（反射）
2112060021|edb95493||焦散（光纹）
2112060022|cd673927||泡沫
2112060023|6a7b6fb1||水体（面）颜色（红色）
2112060024|6a7b6fa6||水体（面）颜色（绿色）
2112060025|6a7b6fa1||水体（面）颜色（蓝色）
2112060026|6a7b6fa0||水体（面）颜色（透明度）
2112060027|64298e82||水下颜色（红色）
2112060028|64298e77||水下颜色（绿色）
2112060029|64298e72||水下颜色（蓝色）
2112060030|64298e71||水下颜色（透明度）
2112060031|452ae3c8||倍数
